#{"t_start": 1573853127.126076, "env_id": "CartPole-v0"}
r,l,t
18.0,18,2.26225
12.0,12,2.299102
18.0,18,2.359255
17.0,17,2.411569
13.0,13,2.458945
19.0,19,2.531807
14.0,14,2.58202
18.0,18,2.638082
15.0,15,2.693368
34.0,34,2.811091
14.0,14,2.858955
41.0,41,3.0027
17.0,17,3.055921
22.0,22,3.137463
15.0,15,3.194461
35.0,35,3.322643
13.0,13,3.365317
29.0,29,3.466136
17.0,17,3.525455
26.0,26,3.611697
13.0,13,3.650573
15.0,15,3.701754
41.0,41,3.84688
25.0,25,3.933518
19.0,19,4.001122
17.0,17,4.063598
10.0,10,4.097343
28.0,28,4.186663
24.0,24,4.265914
23.0,23,4.343165
23.0,23,4.416435
14.0,14,4.468455
10.0,10,4.499923
16.0,16,4.551913
11.0,11,4.592513
12.0,12,4.63429
28.0,28,4.737016
13.0,13,4.777448
18.0,18,4.847888
27.0,27,4.931453
15.0,15,4.982847
16.0,16,5.037574
11.0,11,5.081293
16.0,16,5.137686
12.0,12,5.179034
18.0,18,5.247076
22.0,22,5.321527
15.0,15,5.374387
11.0,11,5.410413
40.0,40,5.55462
69.0,69,5.791086
14.0,14,5.838277
13.0,13,5.882353
36.0,36,6.004126
23.0,23,6.078074
38.0,38,6.220726
20.0,20,6.296341
14.0,14,6.347015
40.0,40,6.489132
48.0,48,6.652848
25.0,25,6.73643
14.0,14,6.787488
34.0,34,6.916052
52.0,52,7.089353
15.0,15,7.140512
16.0,16,7.204477
80.0,80,7.480843
40.0,40,7.624655
24.0,24,7.709317
19.0,19,7.771987
13.0,13,7.821318
24.0,24,7.902759
23.0,23,7.974856
15.0,15,8.023415
16.0,16,8.080081
25.0,25,8.163564
20.0,20,8.228477
34.0,34,8.343523
22.0,22,8.42066
12.0,12,8.455859
42.0,42,8.592754
23.0,23,8.679547
24.0,24,8.771036
15.0,15,8.822166
20.0,20,8.890192
51.0,51,9.058888
54.0,54,9.237525
27.0,27,9.332939
13.0,13,9.377395
16.0,16,9.43504
42.0,42,9.569614
13.0,13,9.61731
12.0,12,9.657048
17.0,17,9.719565
10.0,10,9.75334
20.0,20,9.822274
24.0,24,9.906167
29.0,29,10.004706
14.0,14,10.049353
12.0,12,10.097102
15.0,15,10.146588
31.0,31,10.249426
33.0,33,10.358191
18.0,18,10.421612
16.0,16,10.471709
73.0,73,10.725513
12.0,12,10.768739
44.0,44,10.922892
29.0,29,11.022105
15.0,15,11.07688
9.0,9,11.109084
21.0,21,11.17973
24.0,24,11.261688
17.0,17,11.31347
17.0,17,11.367619
15.0,15,11.414642
20.0,20,11.4816
30.0,30,11.587231
35.0,35,11.704497
18.0,18,11.772076
77.0,77,12.041164
37.0,37,12.181716
17.0,17,12.236286
12.0,12,12.282754
17.0,17,12.337986
13.0,13,12.38529
20.0,20,12.449659
14.0,14,12.493299
22.0,22,12.572215
45.0,45,12.730728
16.0,16,12.786783
28.0,28,12.883188
18.0,18,12.940325
31.0,31,13.041627
10.0,10,13.073424
17.0,17,13.136299
17.0,17,13.194901
21.0,21,13.260577
41.0,41,13.406898
24.0,24,13.482911
9.0,9,13.514318
14.0,14,13.565397
19.0,19,13.638613
14.0,14,13.685362
