#{"t_start": 1573664162.5016398, "env_id": "CartPole-v0"}
r,l,t
14.0,14,2.645556
36.0,36,2.705069
18.0,18,2.729782
24.0,24,2.775389
18.0,18,2.811221
14.0,14,2.841248
19.0,19,2.87427
14.0,14,2.899146
20.0,20,2.939691
13.0,13,2.959469
20.0,20,2.985748
15.0,15,3.002188
41.0,41,3.044126
17.0,17,3.061556
10.0,10,3.072035
22.0,22,3.095469
11.0,11,3.107902
23.0,23,3.140499
15.0,15,3.157935
10.0,10,3.169449
17.0,17,3.188449
11.0,11,3.200333
16.0,16,3.218474
28.0,28,3.249013
14.0,14,3.264332
25.0,25,3.292107
19.0,19,3.313158
10.0,10,3.324183
17.0,17,3.343292
18.0,18,3.364208
31.0,31,3.398699
13.0,13,3.413067
14.0,14,3.428442
20.0,20,3.450475
12.0,12,3.462856
21.0,21,3.48513
11.0,11,3.496266
13.0,13,3.509403
18.0,18,3.526637
13.0,13,3.539247
18.0,18,3.557509
19.0,19,3.577401
11.0,11,3.588179
18.0,18,3.605066
11.0,11,3.615421
33.0,33,3.646834
25.0,25,3.672141
16.0,16,3.688376
41.0,41,3.728545
13.0,13,3.741739
10.0,10,3.751852
19.0,19,3.771121
26.0,26,3.79591
10.0,10,3.805863
12.0,12,3.817325
11.0,11,3.981417
14.0,14,4.040138
11.0,11,4.084318
50.0,50,4.321069
22.0,22,4.416416
13.0,13,4.477694
13.0,13,4.534651
16.0,16,4.623849
10.0,10,4.680131
19.0,19,4.785293
17.0,17,4.871125
10.0,10,4.920538
25.0,25,5.037001
24.0,24,5.147005
49.0,49,5.394698
10.0,10,5.446562
11.0,11,5.496085
28.0,28,5.62103
10.0,10,5.67834
12.0,12,5.728081
33.0,33,5.882708
43.0,43,6.076067
13.0,13,6.136824
16.0,16,6.20984
25.0,25,6.324781
10.0,10,6.370495
12.0,12,6.430971
19.0,19,6.520888
19.0,19,6.59515
12.0,12,6.654774
12.0,12,6.706541
19.0,19,6.799212
12.0,12,6.851394
34.0,34,7.025819
19.0,19,7.123759
15.0,15,7.189587
13.0,13,7.255438
48.0,48,7.469676
19.0,19,7.557461
20.0,20,7.653075
11.0,11,7.707565
20.0,20,7.796876
16.0,16,7.873592
12.0,12,7.936692
15.0,15,8.014818
15.0,15,8.096434
33.0,33,8.248844
13.0,13,8.306955
12.0,12,8.362574
20.0,20,8.456263
25.0,25,8.574375
11.0,11,8.627748
11.0,11,8.671052
12.0,12,8.738066
22.0,22,8.833181
23.0,23,8.943623
21.0,21,9.036271
17.0,17,9.107847
24.0,24,9.224576
12.0,12,9.283749
15.0,15,9.358003
10.0,10,9.410586
15.0,15,9.490627
16.0,16,9.565267
20.0,20,9.655871
14.0,14,9.720621
10.0,10,9.769111
11.0,11,9.824569
13.0,13,9.881118
22.0,22,9.977305
13.0,13,10.029205
32.0,32,10.174371
15.0,15,10.244732
14.0,14,10.314852
16.0,16,10.383081
11.0,11,10.443676
16.0,16,10.529081
22.0,22,10.623783
16.0,16,10.690761
16.0,16,10.7684
15.0,15,10.827924
14.0,14,10.897885
20.0,20,11.004657
15.0,15,11.073611
29.0,29,11.212083
99.0,99,11.653481
109.0,109,12.164181
15.0,15,12.229069
16.0,16,12.314661
81.0,81,12.718817
10.0,10,12.763672
82.0,82,13.13315
42.0,42,13.331772
76.0,76,13.689978
150.0,150,14.386287
102.0,102,14.860782
112.0,112,15.396734
107.0,107,15.873406
157.0,157,16.613804
200.0,200,17.538989
71.0,71,17.864293
200.0,200,18.801157
154.0,154,19.48195
161.0,161,20.262904
200.0,200,21.207545
200.0,200,22.160361
173.0,173,22.957966
200.0,200,23.905608
172.0,172,24.736091
189.0,189,25.618835
169.0,169,26.376401
187.0,187,27.272708
200.0,200,28.229164
184.0,184,29.118208
189.0,189,30.036057
160.0,160,30.754093
163.0,163,31.502771
200.0,200,32.448435
200.0,200,33.366563
174.0,174,34.158626
163.0,163,34.918969
169.0,169,35.691622
160.0,160,36.44479
178.0,178,37.237167
160.0,160,37.964335
141.0,141,38.662727
167.0,167,39.423849
158.0,158,40.160062
158.0,158,40.893089
152.0,152,41.579705
134.0,134,42.224002
143.0,143,42.921323
136.0,136,43.579775
142.0,142,44.257212
127.0,127,44.885606
136.0,136,45.527791
122.0,122,46.10139
137.0,137,46.761737
141.0,141,47.423687
140.0,140,48.104556
122.0,122,48.66927
131.0,131,49.27048
130.0,130,49.874622
147.0,147,50.550025
173.0,173,51.360605
133.0,133,52.018558
140.0,140,52.674392
151.0,151,53.402585
160.0,160,54.173211
158.0,158,54.958579
157.0,157,55.680673
147.0,147,56.3913
159.0,159,57.145454
154.0,154,57.858157
173.0,173,58.660228
15.0,15,58.736608
161.0,161,59.439985
145.0,145,60.10001
17.0,17,60.172498
15.0,15,60.243921
14.0,14,60.306748
135.0,135,60.965661
136.0,136,61.595851
135.0,135,62.218369
140.0,140,62.878296
136.0,136,63.494504
145.0,145,64.162663
134.0,134,64.787726
136.0,136,65.418681
150.0,150,66.136331
135.0,135,66.765167
139.0,139,67.406935
136.0,136,68.060517
133.0,133,68.671211
131.0,131,69.277232
147.0,147,69.934091
128.0,128,70.549648
136.0,136,71.16548
126.0,126,71.772392
127.0,127,72.365777
128.0,128,72.977174
124.0,124,73.570665
137.0,137,74.228651
136.0,136,74.871353
140.0,140,75.512803
133.0,133,76.142982
130.0,130,76.746234
136.0,136,77.403436
133.0,133,78.044095
150.0,150,78.772
136.0,136,79.412309
140.0,140,80.092333
38.0,38,80.257659
158.0,158,80.994953
184.0,184,81.869694
148.0,148,82.609981
118.0,118,83.149356
135.0,135,83.75515
127.0,127,84.35557
123.0,123,84.933046
122.0,122,85.523337
120.0,120,86.103418
127.0,127,86.708417
124.0,124,87.304577
122.0,122,87.854137
