#{"t_start": 1573853678.1118672, "env_id": "CartPole-v0"}
r,l,t
48.0,48,9.017698
36.0,36,9.086783
13.0,13,9.11288
15.0,15,9.14298
52.0,52,9.249141
13.0,13,9.276064
27.0,27,9.33396
17.0,17,9.374193
39.0,39,9.472855
12.0,12,9.498845
15.0,15,9.5309
49.0,49,9.63144
13.0,13,9.658402
33.0,33,9.733616
50.0,50,9.841162
24.0,24,9.892737
43.0,43,9.984482
36.0,36,10.06426
15.0,15,10.096671
33.0,33,10.17795
27.0,27,10.23828
50.0,50,10.345075
38.0,38,10.426428
16.0,16,10.459985
21.0,21,10.503567
25.0,25,10.562089
28.0,28,10.629291
37.0,37,10.707542
37.0,37,10.794361
14.0,14,10.82622
16.0,16,10.861046
15.0,15,10.894255
22.0,22,10.939231
23.0,23,10.986613
24.0,24,11.03559
36.0,36,11.344077
55.0,55,11.817924
46.0,46,12.228889
21.0,21,12.411134
18.0,18,12.570196
13.0,13,12.680606
14.0,14,12.800242
12.0,12,12.911539
19.0,19,13.088279
52.0,52,13.550804
23.0,23,13.759742
27.0,27,14.003113
20.0,20,14.179201
31.0,31,14.454644
33.0,33,14.748659
12.0,12,14.858476
16.0,16,14.998022
14.0,14,15.125986
14.0,14,15.254834
11.0,11,15.354263
12.0,12,15.463686
21.0,21,15.6529
23.0,23,15.867072
24.0,24,16.076958
12.0,12,16.185059
15.0,15,16.311554
28.0,28,16.574094
26.0,26,16.796854
25.0,25,17.024727
22.0,22,17.224858
104.0,104,18.144209
20.0,20,18.325644
27.0,27,18.570501
10.0,10,18.668993
17.0,17,18.795249
37.0,37,19.116399
37.0,37,19.438411
10.0,10,19.525557
17.0,17,19.676045
10.0,10,19.766825
11.0,11,19.862731
13.0,13,19.978215
14.0,14,20.103069
11.0,11,20.20117
14.0,14,20.332578
14.0,14,20.455045
51.0,51,20.926361
32.0,32,21.200583
36.0,36,21.522769
42.0,42,21.923327
12.0,12,22.030427
67.0,67,22.616595
27.0,27,22.863867
13.0,13,22.976626
102.0,102,23.902916
34.0,34,24.202363
127.0,127,25.342562
135.0,135,26.56367
71.0,71,27.170931
25.0,25,27.383647
56.0,56,27.887677
67.0,67,28.486855
108.0,108,29.44888
198.0,198,31.209084
200.0,200,33.014323
74.0,74,33.677948
167.0,167,35.190751
44.0,44,35.920183
30.0,30,36.397015
60.0,60,37.292798
71.0,71,38.38756
14.0,14,38.600272
14.0,14,38.828448
13.0,13,39.036364
86.0,86,40.3406
14.0,14,40.558443
11.0,11,40.739527
17.0,17,40.997745
15.0,15,41.235264
140.0,140,43.3079
160.0,160,45.671053
155.0,155,48.003845
145.0,145,50.181675
25.0,25,50.562198
14.0,14,50.782485
125.0,125,52.619097
120.0,120,54.47422
160.0,160,56.869596
198.0,198,59.876479
123.0,123,61.733888
200.0,200,64.714308
200.0,200,67.720389
88.0,88,69.076902
200.0,200,72.096628
110.0,110,73.732344
89.0,89,75.044169
91.0,91,76.400615
92.0,92,77.764989
99.0,99,79.21246
173.0,173,81.798291
200.0,200,84.824826
77.0,77,85.983356
98.0,98,87.454963
116.0,116,89.166132
76.0,76,90.309751
77.0,77,91.465349
130.0,130,93.44455
131.0,131,95.467694
132.0,132,97.437598
200.0,200,100.432657
138.0,138,102.529342
166.0,166,105.066281
163.0,163,107.561613
200.0,200,110.614299
200.0,200,113.692058
200.0,200,116.776505
168.0,168,119.353781
200.0,200,122.369166
200.0,200,125.391059
200.0,200,128.404428
200.0,200,131.441643
200.0,200,134.465875
200.0,200,137.520937
200.0,200,140.54987
200.0,200,143.623863
200.0,200,146.709528
200.0,200,149.720007
200.0,200,152.777622
200.0,200,155.79774
200.0,200,158.831786
200.0,200,161.815217
200.0,200,164.856074
200.0,200,167.883846
200.0,200,170.902809
200.0,200,173.922346
200.0,200,177.00001
200.0,200,180.033101
200.0,200,183.071481
200.0,200,186.082089
200.0,200,189.11592
200.0,200,192.135586
200.0,200,195.24126
200.0,200,198.257444
200.0,200,201.236816
200.0,200,204.296865
200.0,200,207.290845
200.0,200,210.310207
200.0,200,213.35262
200.0,200,216.374006
200.0,200,219.424986
200.0,200,222.448368
200.0,200,225.480685
200.0,200,228.534081
200.0,200,231.574174
200.0,200,234.62342
200.0,200,237.683805
200.0,200,240.728243
200.0,200,243.776296
200.0,200,246.845467
200.0,200,249.921698
200.0,200,252.956859
200.0,200,256.036106
200.0,200,259.051881
200.0,200,262.072176
200.0,200,265.129717
200.0,200,268.197414
200.0,200,271.25645
200.0,200,274.36075
200.0,200,277.426404
200.0,200,280.500993
200.0,200,283.555027
200.0,200,286.588552
200.0,200,289.608814
200.0,200,292.678608
200.0,200,295.664714
200.0,200,298.739095
200.0,200,301.797042
200.0,200,304.859597
200.0,200,307.923054
200.0,200,310.961902
200.0,200,314.083484
200.0,200,317.14468
200.0,200,320.182389
200.0,200,323.237314
200.0,200,326.223807
200.0,200,329.294554
200.0,200,332.371138
200.0,200,335.422905
200.0,200,338.521176
200.0,200,341.625897
200.0,200,344.692271
200.0,200,347.749261
200.0,200,350.805006
200.0,200,353.882683
200.0,200,356.934536
200.0,200,359.9952
200.0,200,363.025957
200.0,200,366.055982
200.0,200,369.133602
200.0,200,372.213461
200.0,200,375.291802
200.0,200,378.37279
200.0,200,381.415967
200.0,200,384.456281
200.0,200,387.512227
200.0,200,390.539657
